"UserID"|"Exposuredate"|"AdvertiserID"|"Zone"|"CreativeID"|"Creativesize"|"CreativeSizeDesc"|"DomainPlacement"|"NetworkPlacement"|"DeviceTypeID"|"CampaignID"|"CT"|"CountExposures"|"Lineitemid"
"76560624"|"20170703"|"148373533"|"mentalhealth/emohealth"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252140"
"76653836"|"20170703"|"148373533"|"generalwellness/general"|"113313444973"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355432361"
"76667196"|"20170703"|"148373533"|"mouthteeth/dental"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"1"|"1"|"4355252134"
"76718517"|"20170703"|"148373533"|"generalwellness/healthyhome"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252140"
"76775516"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355426121"
"76914072"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252134"
"76914072"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252134"
"77064441"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355426121"
"77064441"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355252143"
"77064441"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"2"|"4355426121"
"77064441"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"-1"|"247"|"0"|"1"|"4355426121"
"77143433"|"20170703"|"148373533"|"skinhairnails/beauty"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"4"|"247"|"0"|"1"|"4355252137"
"77225499"|"20170703"|"148373533"|"generalwellness/healthyliving"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252134"
"77266304"|"20170703"|"148373533"|"generalwellness/general"|"113313445933"|"300x600"|""|"Everyday Health"|"ROH"|"4"|"247"|"0"|"1"|"4355432361"
"77271384"|"20170703"|"148373533"|"cardio/heartattack"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252134"
"77305318"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355426121"
"77305318"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355426121"
"77514222"|"20170703"|"148373533"|"generalwellness/weightmanagement"|"113313445933"|"300x600"|""|"Everyday Health"|"ROH"|"4"|"247"|"0"|"2"|"4355432361"
"77529962"|"20170703"|"148373533"|"bonesjoints/neckpain"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"1"|"4355252137"
"77546383"|"20170703"|"148373533"|"cardio/cholesterol"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"2"|"4355252134"
"77575200"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355426121"
"77588542"|"20170703"|"148373533"|"cardio/cholesterol"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252134"
"77601795"|"20170703"|"148373533"|"cardio/dvt"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"5"|"247"|"0"|"2"|"4355252134"
"77606123"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433693"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"10"|"4355252134"
"77606123"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313438493"|"300x600"|""|"Everyday Health"|"ROH"|"1"|"247"|"0"|"6"|"4355252134"
"77606123"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313439213"|"728x90"|"Leaderboard"|"Everyday Health"|"ROH"|"1"|"247"|"0"|"1"|"4355252134"
"77613746"|"20170703"|"148373533"|"mentalhealth/emohealth"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355252140"
"77647068"|"20170703"|"148373533"|"generalwellness/healthyliving"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"2"|"4355252143"
"77746246"|"20170703"|"148373533"|"generalwellness/dietnutrition"|"113313433213"|"300x250"|"Big Box"|"Everyday Health"|"ROH"|"2"|"247"|"0"|"1"|"4355426121"
